Common Name,Scientific Name,Status,Group
"Oryx, scimitar-horned",Oryx dammah,Endangered,Mammals
"Otter, Cameroon clawless",Aonyx congicus (=congica) microdon,Endangered,Mammals
"Otter, giant",Pteronura brasiliensis,Endangered,Mammals
"Otter, long-tailed",Lontra (=Lutra) longicaudis (incl. platensis),Endangered,Mammals
"Otter, marine",Lontra (=Lutra) felina,Endangered,Mammals
"Otter, northern sea [Southwest Alaska DPS]",Enhydra lutris kenyoni,Threatened,Mammals
"Otter, southern river",Lontra (=Lutra) provocax,Endangered,Mammals
"Otter, southern sea",Enhydra lutris nereis,Threatened,Mammals
"Panda, giant",Ailuropoda melanoleuca,Endangered,Mammals
"Pangolin, Temnick's ground",Manis temminckii,Endangered,Mammals
"Panther, Florida",Puma (=Felis) concolor coryi,Endangered,Mammals
"Planigale, little",Planigale ingrami subtilissima,Endangered,Mammals
"Planigale, southern",Planigale tenuirostris,Endangered,Mammals
"Porcupine, thin-spined",Chaetomys subspinosus,Endangered,Mammals
"Possum, Leadbeater's",Gymnobelideus leadbeateri,Endangered,Mammals
"Possum, mountain pygmy",Burramys parvus,Endangered,Mammals
"Possum, scaly-tailed",Wyulda squamicaudata,Endangered,Mammals
"Dog, Mexican prairie",Cynomys mexicanus,Endangered,Mammals
"Dog, Utah prairie",Cynomys parvidens,Threatened,Mammals
"Pronghorn, peninsular",Antilocapra americana peninsularis,Endangered,Mammals
"Pronghorn, Sonoran",Antilocapra americana sonoriensis,XN,Mammals
"Pronghorn, Sonoran",Antilocapra americana sonoriensis,Endangered,Mammals
Pudu,Pudu pudu,Endangered,Mammals
Puma (=mountain lion),Puma (=Felis) concolor (all subsp. except coryi),Endangered (S/A),Mammals
"Puma, Costa Rican",Puma (=Felis) concolor costaricensis,Endangered,Mammals
Quokka,Setonix brachyurus,Endangered,Mammals
"Rabbit, Lower Keys marsh",Sylvilagus palustris hefneri,Endangered,Mammals
"Rabbit, pygmy [Columbia Basin DPS]",Brachylagus idahoensis,Endangered,Mammals
"Rabbit, riparian brush",Sylvilagus bachmani riparius,Endangered,Mammals
"Rabbit, Ryukyu",Pentalagus furnessi,Endangered,Mammals
"Rabbit, volcano",Romerolagus diazi,Endangered,Mammals
"Rat, false water",Xeromys myoides,Endangered,Mammals
"Rat, Fresno kangaroo",Dipodomys nitratoides exilis,Endangered,Mammals
"Rat, giant kangaroo",Dipodomys ingens,Endangered,Mammals
"Rat, Morro Bay kangaroo",Dipodomys heermanni morroensis,Endangered,Mammals
"Rat, San Bernardino Merriam's kangaroo",Dipodomys merriami parvus,Endangered,Mammals
"Rat, silver rice [Lower FL Keys DPS]",Oryzomys palustris natator,Endangered,Mammals
"Rat, Stephens' kangaroo",Dipodomys stephensi (incl. D. cascus),Threatened,Mammals
"Rat, stick-nest",Leporillus conditor,Endangered,Mammals
"Rat, Tipton kangaroo",Dipodomys nitratoides nitratoides,Endangered,Mammals
"Rat-kangaroo, brush-tailed",Bettongia penicillata,Endangered,Mammals
"Rat-kangaroo, desert (=plain)",Caloprymnus campestris,Endangered,Mammals
"Rat-kangaroo, Gaimard's",Bettongia gaimardi,Endangered,Mammals
"Rat-kangaroo, Lesueur's",Bettongia lesueur,Endangered,Mammals
"Rat-kangaroo, Queensland",Bettongia tropica,Endangered,Mammals
"Rhinoceros, black",Diceros bicornis,Endangered,Mammals
"Rhinoceros, great Indian",Rhinoceros unicornis,Endangered,Mammals
"Rhinoceros, Javan",Rhinoceros sondaicus,Endangered,Mammals
"Rhinoceros, northern white",Ceratotherium simum cottoni,Endangered,Mammals
"Rhinoceros, southern white",Ceratotherium simum ssp. simum,Endangered (S/A),Mammals
"Rhinoceros, Sumatran",Dicerorhinus sumatrensis,Endangered,Mammals
"Saki, southern bearded",Chiropotes satanas satanas,Endangered,Mammals
"Saki, white-nosed",Chiropotes albinasus,Endangered,Mammals
"Sea lion, Steller [Western DPS]",Eumetopias jubatus,Endangered,Mammals
"Seal, bearded [Beringia DPS]",Erignathus barbatus nauticus,Threatened,Mammals
"Seal, bearded [Okhotsk DPS]",Erignathus barbatus nauticus,Threatened,Mammals
"Seal, Guadalupe fur",Arctocephalus townsendi,Threatened,Mammals
"Seal, Hawaiian monk",Monachus schauinslandi,Endangered,Mammals
"Seal, Mediterranean monk",Monachus monachus,Endangered,Mammals
"Seal, ringed (Baltic subspecies)",Phoca (=Pusa) hispida botnica,Threatened,Mammals
"Seal, ringed (Arctic subspecies)",Phoca (=Pusa) hispida hispida,Threatened,Mammals
"Seal, ringed (Ladoga subspecies)",Phoca (=Pusa) hispida ladogensis,Endangered,Mammals
"Seal, ringed (Okhotsk subspecies)",Phoca (=Pusa) hispida ochotensis,Threatened,Mammals
"Seal, ringed (Saimaa subspecies)",Phoca hispida saimensis,Endangered,Mammals
"Seal, spotted [Southern DPS]",Phoca largha,Threatened,Mammals
Seledang,Bos gaurus,Endangered,Mammals
Serow,Naemorhedus (=Capricornis) sumatraensis,Endangered,Mammals
"Serval, Barbary",Leptailurus (=Felis) serval constantina,Endangered,Mammals
Shapo,Ovis vignei vignei,Endangered,Mammals
"Sheep, Peninsular bighorn",Ovis canadensis nelsoni,Endangered,Mammals
"Sheep, Sierra Nevada bighorn",Ovis canadensis sierrae,Endangered,Mammals
Shou,Cervus elaphus wallichi,Endangered,Mammals
"Shrew, Buena Vista Lake ornate",Sorex ornatus relictus,Endangered,Mammals
Siamang,Symphalangus syndactylus,Endangered,Mammals
Sifakas,Propithecus spp.,Endangered,Mammals
"Sloth, Brazilian three-toed",Bradypus torquatus,Endangered,Mammals
"Solenodon, Cuban",Solenodon cubanus,Endangered,Mammals
"Solenodon, Haitian",Solenodon paradoxus,Endangered,Mammals
"Squirrel, Carolina northern flying",Glaucomys sabrinus coloratus,Endangered,Mammals
"Squirrel, Mount Graham red",Tamiasciurus fremonti grahamensis,Endangered,Mammals
"Squirrel, northern Idaho ground",Urocitellus brunneus,Threatened,Mammals
"Stag, Kashmir",Cervus elaphus hanglu,Endangered,Mammals
"Suni, Zanzibar",Neotragus moschatus moschatus,Endangered,Mammals
"Tahr, Arabian",Hemitragus jayakari,Endangered,Mammals
Tamaraw,Bubalus mindorensis,Endangered,Mammals
"Tamarin, cotton-top",Saguinus oedipus,Endangered,Mammals
"Tamarin, golden-rumped",Leontopithecus spp.,Endangered,Mammals
"Tamarin, pied",Saguinus bicolor,Endangered,Mammals
"Tamarin, white-footed",Saguinus leucopus,Threatened,Mammals
"Tapir, Asian",Tapirus indicus,Endangered,Mammals
"Tapir, Central American",Tapirus bairdii,Endangered,Mammals
"Tapir, mountain",Tapirus pinchaque,Endangered,Mammals
"Tapir, South American (=Brazilian)",Tapirus terrestris,Endangered,Mammals
"Tarsier, Philippine",Tarsius syrichta,Threatened,Mammals
Tiger,Panthera tigris,Endangered,Mammals
"Tiger, Tasmanian",Thylacinus cynocephalus,Endangered,Mammals
Uakari (all species),Cacajao spp.,Endangered,Mammals
Urial,Ovis musimon ophion,Endangered,Mammals
Vaquita,Phocoena sinus,Endangered,Mammals
Vicuna,Vicugna vicugna,Endangered,Mammals
Vicuna,Vicugna vicugna,Threatened,Mammals
"Vole, Amargosa",Microtus californicus scirpensis,Endangered,Mammals
"Vole, Florida salt marsh",Microtus pennsylvanicus dukecampbelli,Endangered,Mammals
"Wallaby, banded hare",Lagostrophus fasciatus,Endangered,Mammals
"Wallaby, brindled nail-tailed",Onychogalea fraenata,Endangered,Mammals
"Wallaby, crescent nail-tailed",Onychogalea lunata,Endangered,Mammals
"Wallaby, Parma",Macropus parma,Endangered,Mammals
"Wallaby, western hare",Lagorchestes hirsutus,Endangered,Mammals
"Wallaby, yellow-footed rock",Petrogale xanthopus,Endangered,Mammals
"Whale, beluga [Cook Inlet DPS]",Delphinapterus leucas,Endangered,Mammals
"Whale, blue",Balaenoptera musculus,Endangered,Mammals
"Whale, bowhead",Balaena mysticetus,Endangered,Mammals
"Whale, false killer [Main Hawaiian Islands Insular DPS]",Pseudorca crassidens,Endangered,Mammals
"Whale, fin",Balaenoptera physalus,Endangered,Mammals
"Whale, gray [Western North Pacific DPS]",Eschrichtius robustus,Endangered,Mammals
"Whale, humpback [Arabian Sea DPS]",Megaptera novaeangliae,Endangered,Mammals
"Whale, humpback [Cape Verde Island/Northwest Africa DPS]",Megaptera novaeangliae,Endangered,Mammals
"Whale, humpback [Central America DPS]",Megaptera novaeangliae,Endangered,Mammals
"Whale, humpback [Mexico DPS]",Megaptera novaeangliae,Threatened,Mammals
"Whale, humpback [Western North Pacific DPS]",Megaptera novaeangliae,Endangered,Mammals
"Whale, killer [Southern Resident DPS]",Orcinus orca,Endangered,Mammals
"Whale, North Atlantic right",Eubalaena glacialis,Endangered,Mammals
"Whale, North Pacific right",Eubalaena japonica,Endangered,Mammals
"Whale, Rice's",Balaenoptera ricei,Endangered,Mammals
"Whale, Sei",Balaenoptera borealis,Endangered,Mammals
"Whale, Southern right",Eubalaena australis,Endangered,Mammals
"Whale, sperm",Physeter catodon (=macrocephalus),Endangered,Mammals
"Wolf, gray",Canis lupus,Endangered,Mammals
"Wolf, gray",Canis lupus,Threatened,Mammals
"Wolf, maned",Chrysocyon brachyurus,Endangered,Mammals
"Wolf, Mexican",Canis lupus baileyi,XN,Mammals
"Wolf, Mexican",Canis lupus baileyi,Endangered,Mammals
"Wolf, red",Canis rufus,XN,Mammals
"Wolf, red",Canis rufus,Endangered,Mammals
"Wolverine, North American",Gulo gulo luscus,Threatened,Mammals
"Wombat, Queensland hairy-nosed (incl. Barnard's)",Lasiorhinus krefftii (formerly L. barnardi and L. gillespiei),Endangered,Mammals
"Woodrat, Key Largo",Neotoma floridana smalli,Endangered,Mammals
"Woodrat, riparian woodrat (=San Joaquin Valley)",Neotoma fuscipes riparia,Endangered,Mammals
"Yak, wild",Bos mutus (=grunniens m.),Endangered,Mammals
"Zebra, Cape mountain",Equus zebra ssp. zebra,Endangered,Mammals
"Zebra, Grevy's",Equus grevyi,Threatened,Mammals
"Zebra, Hartmann's mountain",Equus zebra hartmannae,Threatened,Mammals
"Zebra, mountain",Equus zebra zebra,Endangered,Mammals
Birds,,,
`I`iwi,Drepanis coccinea,Threatened,Birds
`O`u,Psittirostra psittacea,Endangered,Birds
